p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	pct.ratio	pct.difference
6.784024426364147e-25	0.15009093230704837	0.127	0.022	1.2114232418158458e-20	14	Adam23	5.772727272727273	0.10500000000000001
7.279918639817533e-25	0.22553178229710913	0.214	0.054	1.299975071512217e-20	14	Osr2	3.962962962962963	0.16
7.518163188115172e-25	0.15248063546815976	0.148	0.029	1.3425184005017263e-20	14	Sulf2	5.1034482758620685	0.119
7.637230799082958e-25	0.15310856972834946	0.153	0.03	1.363780303792244e-20	14	Smchd1	5.1000000000000005	0.123
9.25617422403076e-25	0.1435958005739332	0.127	0.022	1.6528750311851728e-20	14	Parp3	5.772727272727273	0.10500000000000001
9.666898721172619e-25	0.18872785820876042	0.188	0.043	1.7262181046397946e-20	14	Crebbp	4.372093023255815	0.14500000000000002
1.0980018083788434e-24	0.1518482023560453	0.144	0.028	1.9607018292221006e-20	14	Zfp326	5.142857142857142	0.11599999999999999
1.1949534604133965e-24	0.12152476121741612	0.114	0.018	2.133828394260202e-20	14	Atp2c1	6.333333333333334	0.096
1.4732678064730788e-24	0.3442960064284768	0.157	0.033	2.6308143220189768e-20	14	Cxcl10	4.757575757575758	0.124
1.5464770386352753e-24	0.11372343000694365	0.105	0.016	2.761544047891011e-20	14	Zcchc14	6.5625	0.089
1.5851731431964442e-24	0.25473272887845455	0.258	0.074	2.8306436818058907e-20	14	Nmt2	3.486486486486487	0.184
1.627572522580551e-24	-0.7654309899111059	0.061	0.391	2.90635625357209e-20	14	Prdx1	0.15601023017902813	-0.33
1.7605908963387332e-24	0.14207222686019483	0.135	0.025	3.143887163592076e-20	14	Arfgef1	5.4	0.11000000000000001
1.7817783449677456e-24	0.19394421992796124	0.179	0.04	3.1817215906089033e-20	14	Peak1	4.475	0.13899999999999998
1.803894702450848e-24	0.15203808605509206	0.162	0.034	3.22121477016648e-20	14	Nsd3	4.764705882352941	0.128
1.9851370446629754e-24	0.23505933380652883	0.245	0.068	3.544859220654675e-20	14	Ddx17	3.602941176470588	0.177
2.0556841068825862e-24	0.1520384436750906	0.14	0.027	3.6708351096602344e-20	14	Il1rl2	5.185185185185186	0.11300000000000002
2.1236264232061793e-24	0.1315004228517904	0.105	0.016	3.792159703919274e-20	14	Oser1	6.5625	0.089
2.4863765532784494e-24	0.14682786494373284	0.135	0.025	4.439922611189327e-20	14	Chd8	5.4	0.11000000000000001
2.4918426997765334e-24	0.11225300257988914	0.1	0.015	4.449683508990956e-20	14	Senp2	6.666666666666667	0.085
2.658018169770494e-24	0.17462790688133906	0.153	0.031	4.7464230457591706e-20	14	Rgl1	4.935483870967742	0.122
3.17308811880699e-24	0.6152262245815565	0.437	0.18	5.666183453753642e-20	14	Ptgs2	2.427777777777778	0.257
3.5558850472511546e-24	0.13912416570004593	0.14	0.027	6.349743928876387e-20	14	Slc44a1	5.185185185185186	0.11300000000000002
3.673617165829573e-24	0.1643994789808212	0.183	0.042	6.559978173021869e-20	14	Ptgfrn	4.357142857142857	0.141
3.681287702519855e-24	-0.767981750910379	0.127	0.445	6.573675450389705e-20	14	Eef1b2	0.2853932584269663	-0.318
4.602213858863811e-24	0.17764968555148308	0.175	0.039	8.218173287773108e-20	14	Cyth3	4.487179487179487	0.13599999999999998
4.6299864742863325e-24	0.20308330889233034	0.192	0.046	8.267766847133104e-20	14	Gas1	4.173913043478261	0.14600000000000002
5.111974063866804e-24	0.1997176418420784	0.214	0.055	9.128452085846952e-20	14	Tulp4	3.8909090909090907	0.159
5.47796706972183e-24	0.13269981875424594	0.114	0.019	9.782005796402271e-20	14	Csnk1g1	6	0.095
5.837962492081015e-24	0.13751004096718158	0.14	0.027	1.0424849622109068e-19	14	Sidt2	5.185185185185186	0.11300000000000002
6.046351211511509e-24	0.1994611648888279	0.24	0.066	1.0796969358396101e-19	14	Gnl3	3.6363636363636362	0.174
6.600760723599087e-24	0.1862833435588977	0.188	0.045	1.178697842413089e-19	14	Thra	4.177777777777778	0.14300000000000002
7.000464536239383e-24	0.1728826044001318	0.179	0.041	1.2500729522362667e-19	14	Mef2a	4.365853658536585	0.13799999999999998
7.210137079718562e-24	0.13212362422849247	0.114	0.019	1.2875141783253436e-19	14	Sppl3	6	0.095
7.286046498244108e-24	0.10955132568382348	0.1	0.015	1.3010693231914504e-19	14	Itpr2	6.666666666666667	0.085
8.190047541534824e-24	0.19312192350781582	0.21	0.053	1.4624967894918736e-19	14	Vasn	3.9622641509433962	0.157
8.423656980478419e-24	0.1953299898135549	0.205	0.052	1.5042124270040312e-19	14	Rab5a	3.942307692307692	0.153
8.531964656272638e-24	-0.7883068144151839	0.166	0.466	1.523552928670605e-19	14	Rpl7a	0.3562231759656652	-0.30000000000000004
8.951378713806974e-24	0.16803821510554895	0.188	0.044	1.5984476969245115e-19	14	Pigt	4.272727272727273	0.14400000000000002
1.1652871183560016e-23	0.26007788059245873	0.323	0.106	2.080853207248312e-19	14	Prelp	3.047169811320755	0.21700000000000003
1.3586582686479356e-23	0.12575751625734966	0.105	0.016	2.4261560703246187e-19	14	Rbm33	6.5625	0.089
1.3772010733140478e-23	0.12778208111622355	0.1	0.015	2.4592679566168953e-19	14	Fbxo30	6.666666666666667	0.085
1.4043707924114866e-23	0.22808365412480222	0.31	0.099	2.5077849240091917e-19	14	Rbm25	3.131313131313131	0.211
1.685020066446956e-23	0.1411303848571448	0.144	0.029	3.008940332654329e-19	14	Snx18	4.96551724137931	0.11499999999999999
1.8041550673213425e-23	0.1901232495941545	0.179	0.042	3.2216797037157215e-19	14	Thoc2	4.261904761904762	0.13699999999999998
1.830372765156459e-23	0.12793999306319656	0.109	0.018	3.2684966467398887e-19	14	Zfp451	6.055555555555556	0.091
1.865889844897839e-23	0.112568349848452	0.105	0.016	3.331919496034071e-19	14	Kat2b	6.5625	0.089
2.0993498445503373e-23	0.17561655018998285	0.166	0.037	3.748809017413537e-19	14	Cpd	4.486486486486487	0.129
2.1670038115878e-23	0.11700916782241746	0.109	0.018	3.8696187063523345e-19	14	Relb	6.055555555555556	0.091
2.853862328133883e-23	0.2064815291279416	0.223	0.06	5.096141959348675e-19	14	Pura	3.716666666666667	0.163
3.0166466823966724e-23	0.1665426723954999	0.175	0.04	5.386825980755738e-19	14	Ggnbp2	4.375	0.13499999999999998
3.5620762817455805e-23	0.21209475918091988	0.279	0.085	6.360799616313083e-19	14	Eif4g1	3.2823529411764705	0.194
3.8510316311322076e-23	0.1429292451599097	0.131	0.025	6.876787183712783e-19	14	Polb	5.24	0.10600000000000001
4.1329585896114836e-23	0.1173937583054386	0.109	0.018	7.380224153469226e-19	14	Ston2	6.055555555555556	0.091
6.84146933232825e-23	0.13637174512992817	0.14	0.028	1.2216811786738556e-18	14	Arih1	5	0.11200000000000002
1.0247322264182276e-22	0.23768692732520957	0.371	0.132	1.829864336715029e-18	14	Eif5	2.8106060606060606	0.239
1.0843589930129512e-22	0.1554280113450925	0.157	0.034	1.936339853823227e-18	14	Far1	4.617647058823529	0.123
1.1250536746168191e-22	0.26050513181718005	0.952	0.543	2.0090083467632537e-18	14	Dcn	1.753222836095764	0.4089999999999999
1.1979262492913811e-22	0.23293212105267241	0.454	0.169	2.1391369033596192e-18	14	Ccl11	2.6863905325443787	0.28500000000000003
1.3702919027375554e-22	-0.7135426088594884	0.109	0.417	2.4469302507184527e-18	14	Rpl4	0.26139088729016785	-0.308
1.4379600339639847e-22	0.12890140522785	0.105	0.017	2.5677652326494874e-18	14	Cplane1	6.1764705882352935	0.088
1.4523904373619013e-22	0.11151033817066142	0.1	0.016	2.5935336039971474e-18	14	Cpeb4	6.25	0.084
1.8587462721826057e-22	0.12341276946497118	0.122	0.022	3.319163218236479e-18	14	Dcaf8	5.545454545454546	0.1
2.319282064168913e-22	0.20725659561189597	0.17	0.04	4.141541981986428e-18	14	Eif4e	4.25	0.13
2.863604397084261e-22	0.28322054679373015	0.38	0.138	5.1135383718733646e-18	14	Serpina3n	2.753623188405797	0.242
3.2461784072204374e-22	0.14178666719029764	0.131	0.025	5.796700781773535e-18	14	Sema3d	5.24	0.10600000000000001
3.361144354359118e-22	0.14997037945361832	0.162	0.036	6.001995473579077e-18	14	Afap1	4.500000000000001	0.126
4.061038380521555e-22	0.13967893582475105	0.127	0.024	7.251796236097341e-18	14	Emsy	5.291666666666667	0.10300000000000001
4.0962267696508794e-22	-2.621650208196598	0.127	0.427	7.314632142565575e-18	14	Hbb-bt	0.297423887587822	-0.3
4.477182228004029e-22	0.12505959471341982	0.114	0.02	7.994904304546795e-18	14	Slc12a4	5.7	0.094
4.51834328762603e-22	0.12592311054194621	0.109	0.019	8.068405608713802e-18	14	Peli1	5.736842105263158	0.09
8.47040218666198e-22	0.12474948237148234	0.122	0.023	1.5125597184722297e-17	14	Fmr1	5.304347826086956	0.099
9.414888812677472e-22	0.12037781583420595	0.1	0.016	1.6812166952798162e-17	14	Ehmt1	6.25	0.084
9.64551712301585e-22	-0.8046284673245713	0.428	0.682	1.72239999265694e-17	14	Tmsb4x	0.627565982404692	-0.25400000000000006
1.0488476114534656e-21	0.2440613512099514	0.214	0.059	1.8729271797724535e-17	14	Trib1	3.6271186440677967	0.155
1.0699070657294323e-21	0.15050831747231588	0.157	0.035	1.9105330472730472e-17	14	Gadd45b	4.485714285714285	0.122
1.1836311503463835e-21	0.17708973586129367	0.192	0.049	2.113610145173537e-17	14	Ifi205	3.9183673469387754	0.14300000000000002
1.3268487074547207e-21	0.14303207827630082	0.153	0.034	2.3693537369018947e-17	14	Tmx3	4.5	0.119
1.4415124310725174e-21	0.11672079222611692	0.105	0.018	2.5741087481661944e-17	14	Ankib1	5.833333333333334	0.087
1.4418355336706675e-21	0.1805044974071586	0.153	0.034	2.574685712475711e-17	14	Sh3gl1	4.5	0.119
1.853542642153039e-21	0.1416991214115101	0.135	0.028	3.3098710960926817e-17	14	Rela	4.821428571428572	0.10700000000000001
1.9891426398753337e-21	0.2763467833516702	0.428	0.168	3.552012012025383e-17	14	Prss23	2.5476190476190474	0.26
2.1979220780705748e-21	0.1851131253670955	0.201	0.053	3.924829454810625e-17	14	Tnrc6a	3.7924528301886795	0.14800000000000002
2.5765953071070407e-21	0.1867814965632299	0.223	0.063	4.6010262399010424e-17	14	Copa	3.5396825396825395	0.16
2.661713935149311e-21	0.12084538592793737	0.118	0.022	4.7530225739961244e-17	14	Man2b1	5.363636363636363	0.096
3.320418460873569e-21	0.12431313598563803	0.1	0.017	5.929271245581932e-17	14	Calcrl	5.88235294117647	0.083
3.500752644047609e-21	0.11401234460506325	0.1	0.017	6.251293996475815e-17	14	Nhsl1	5.88235294117647	0.083
3.603072188956865e-21	0.13864923563653808	0.131	0.026	6.434006007820273e-17	14	Wipf1	5.038461538461539	0.10500000000000001
3.672918516994724e-21	0.12983261827404227	0.131	0.026	6.558730595797478e-17	14	Gapvd1	5.038461538461539	0.10500000000000001
3.828328270825035e-21	-0.7834899350845171	0.079	0.371	6.836245793212265e-17	14	Npm1	0.21293800539083557	-0.292
3.866295148716685e-21	0.11575995633253353	0.105	0.018	6.904043247063384e-17	14	Smurf1	5.833333333333334	0.087
3.935461069207905e-21	0.12474948237148234	0.118	0.022	7.027552831284556e-17	14	Itch	5.363636363636363	0.096
4.0084392053864856e-21	0.11045310182543788	0.105	0.018	7.157869889058647e-17	14	Ints3	5.833333333333334	0.087
4.1049581471247084e-21	0.1346313789600495	0.131	0.026	7.330223763320591e-17	14	Wdr33	5.038461538461539	0.10500000000000001
5.187908738252944e-21	0.17383503198340658	0.197	0.052	9.264048633898282e-17	14	Gns	3.7884615384615388	0.14500000000000002
6.1076723111116126e-21	0.1784214586151448	0.175	0.043	1.0906470445952007e-16	14	Bmpr2	4.069767441860465	0.132
6.121297560896548e-21	0.17413055007227918	0.188	0.048	1.0930801054492967e-16	14	Lgi2	3.9166666666666665	0.14
6.449914672670623e-21	0.11893352379344645	0.109	0.019	1.1517612630987931e-16	14	Snx10	5.736842105263158	0.09
6.724640892047919e-21	0.15027697894518677	0.148	0.033	1.2008191240929968e-16	14	Apcdd1	4.484848484848484	0.11499999999999999
7.50334404504777e-21	0.12189778462507542	0.114	0.021	1.33987214612418e-16	14	Wdr36	5.428571428571429	0.093
7.567179636232001e-21	0.13362456571971798	0.14	0.03	1.3512712676419486e-16	14	Upf2	4.666666666666667	0.11000000000000001
9.44989988107648e-21	0.14180829851993754	0.148	0.033	1.687468621763827e-16	14	Rbbp6	4.484848484848484	0.11499999999999999
1.0123382899416827e-20	0.15429715097687138	0.153	0.035	1.807732484348863e-16	14	Thoc1	4.371428571428571	0.118
1.0232811309796846e-20	0.1624920940489999	0.162	0.038	1.8272731155904228e-16	14	Akap12	4.2631578947368425	0.124
1.0715169260333106e-20	0.18076930047738665	0.223	0.064	1.9134077748176827e-16	14	Zcchc24	3.484375	0.159
1.0877063594662302e-20	-0.742453977459642	0.017	0.304	1.9423172460988473e-16	14	Pgk1	0.055921052631578955	-0.287
1.1135180668487427e-20	-0.6511136625404179	0.301	0.587	1.9884092119717997e-16	14	H3f3b	0.5127768313458263	-0.286
1.1270843502319167e-20	0.13602182003025162	0.144	0.031	2.0126345242091335e-16	14	Fat1	4.64516129032258	0.11299999999999999
1.183582483559436e-20	0.1536005108003669	0.157	0.037	2.1135232408920849e-16	14	Zfp638	4.243243243243244	0.12
1.2158891853812079e-20	0.13092544491603864	0.118	0.022	2.1712133183352228e-16	14	Usp8	5.363636363636363	0.096
1.2881710362254139e-20	0.2429612230229467	0.31	0.107	2.3002870193877216e-16	14	Scara5	2.897196261682243	0.203
1.3118034727767227e-20	0.1533920347142086	0.144	0.032	2.342487461337394e-16	14	Ano6	4.5	0.11199999999999999
1.3350995995309198e-20	0.1436914668344297	0.157	0.037	2.3840873548823636e-16	14	Brd9	4.243243243243244	0.12
1.3497525663481731e-20	0.20453676348894623	0.271	0.087	2.410253157727933e-16	14	Rap1b	3.1149425287356327	0.18400000000000002
1.4357679100715087e-20	0.32209037277492625	0.568	0.261	2.5638507570146933e-16	14	Pcolce	2.176245210727969	0.30699999999999994
2.0948934247290755e-20	0.1465208363251044	0.144	0.032	3.74085118853871e-16	14	Snrnp48	4.5	0.11199999999999999
2.1946341920601875e-20	0.12710803171861113	0.122	0.024	3.9189582767618768e-16	14	Xrn1	5.083333333333333	0.098
2.410305580324633e-20	0.19050264442085105	0.249	0.077	4.304082674785697e-16	14	Macf1	3.2337662337662336	0.172
2.584392112746453e-20	0.17521883577122224	0.131	0.027	4.614948995731341e-16	14	Slc39a14	4.851851851851852	0.10400000000000001
2.802389230571371e-20	0.3836222106120376	0.559	0.257	5.004226449031297e-16	14	Dusp1	2.1750972762645917	0.30200000000000005
2.9503552337004844e-20	0.1344056500342453	0.122	0.024	5.268449340818955e-16	14	Diaph2	5.083333333333333	0.098
