tissueType	cellName	geneSymbolmore1	geneSymbolmore2	shortName
Liver	Endothelial cell	Appbp2,Arglu1,Atp10d,Bnip1,Bst2,Btnl9,Ccdc85b,Cd34,Cd4,Cdc73,Cdkl1,Chd4,Clec1b,Clec4g,Crbn,Crhbp,Dclre1c,Dipk2a,Dlc1,Dlg1,Dlk1,Dnase1l3,Dock1,Dusp5,Efnb2,Eng,F8,Filip1,Flt1,Fosb,Fxyd6,Gga2,Gm13889,Gng11,Hes1,Hyi,Il1r1,Il33,Kdr,Kif1b,Klhl28,Ldb2,Mcam,Mcm3ap,Mef2c,Mfn1,Mgat5,Mpzl3,Mrc1,Oit3,Pecam1,Pik3c2a,Ppwd1,Ptprc,Rasgef1b,Rasgrp3,Reln,Rin2,Secisbp2l,Stab1,Stab2,Strn3,Tcf12,Tex264,Tfrc,Trappc11,Tspan7,Usp48,Vwf		Endothelial
Liver	Hematopoietic cell	Cd34,Ptprc		HCs
Liver	Hepatic stellate cells	Acta2,Alb,Bgn,Ccl2,Ccn1,Ccn2,Col1a1,Col1a2,Col3a1,Colec11,Cygb,Dcn,Des,Fap,Fgf10,Foxf1,Gfap,Hgf,Igfbp3,Igfbp6,Igfbp7,Myb,Myl9,Ngfr,Nr1h4,Olfml3,Pdgfra,Ppara,Pparg,Rbp1,Reln,Rgs5,Sema7a,Slc8a1,Sparc,Syp,Tagln,Timp1,Tpm2,Vcl,Vegfa,Wt1		HSCs
Liver	Hepatoblasts	Afp,Alb,Cdh1,Cebpa,Dlk1,Foxm1,Hnf1b,Hnf4a,Krt14,Krt18,Krt8,Map2k4,Met,Prox1,Smad5		Hepatoblasts
Liver	Hepatocytes	2310009B15Rik,A1cf,Abcc3,Acadm,Acly,Acss2,Afp,Ahr,Alb,Aldh6a1,Ambp,Apoa1,Apoa2,Apoa5,Apob,Apoc3,Apoh,Apom,Aqp3,Aqp9,Ar,Arg1,Asgr1,Asl,Ass1,Atic,Atp7b,Azgp1,Bche,Bnip3,Cd3g,Cdh1,Cebpa,Cp,Cps1,Crp,Ctnnb1,Cyp1a2,Cyp2e1,Eid2,Entpd5,Epb41l4b,Eppk1,Fga,Fgb,Fgfr4,Fgg,Fgl1,Fosl1,Foxa1,Foxa2,Foxa3,Fst,G0s2,G6pc,Gc,Gck,Ghr,Gjb2,Gls2,Glul,Gpat4,Gpc3,Grb14,Hal,Hmgcs1,Hnf4a,Hsd11b1,Kif13b,Krt18,Krt8,Lepr,Lipc,Lrp5,Masp2,Mcc,Mrps18c,Msmo1,Nnt,Nos2,Ociad1,Otc,Pah,Pck1,Phlda1,Pon3,Prox1,Prrg4,Rcan1,Rhob,Rnd3,Rpp25l,Samd5,Sat2,Sdc2,Sec16b,Serpina6,Serpinh1,Sfrp5,Slbp,Slc10a1,Slc2a2,Slpi,Sptbn1,Tat,Tfr2,Tkfc,Tm4sf4,Tm4sf5,Tm7sf2,Tmem97,Trp53inp2,Ttc36,Ttr,Ucp2,Vdr,Wt1,Wtap,Zhx2		Hepatocytes
Liver	Immune system cells	Cd14,Cd19,Cd27,Cd38,Cd3d,Cd3e,Cd3g,Cd4,Cd7,Cd8a,Il2ra,Ms4a1,Ptprc		Immune
Liver	Kupffer cells	9530003J23Rik,Adgre1,C1qa,C1qb,C1qc,Ccr5,Cd14,Cd163,Cd38,Chit1,Clec1b,Clec4e,Clec4f,Clec4g,Csf1r,Dnase1l3,Folr2,Gpihbp1,Hfe,Il1b,Irf7,Marco,Mmp13,Mpo,Msr1,Osm,Pltp,Ppara,Ppard,Prok2,Slc11a1,Slc15a3,Slc40a1,Spic,Stard5,Timd4,Tnf,Trem1,Vdr,Vsig4		Kupffer
Liver	Liver progenitor cell	Krt19,Krt7		Progenitor
Liver	Mast cells	Cd9,Enpp3,Fcer1a,Fcer2a,Il2ra,Isg20,Kit,Slc18a2		Mast
Liver	Mesenchymal stem cell	Cd44,Eng,Itgb1,Nt5e,Thy1		Mesenchymal stem cell
Liver	Monocytes	Cd14		Monocytes
Eye	Muller cells	Car8,Edn2,Glul,Kcnj2,Pax6,Prss56,Rgr,Rlbp1		Muller
Eye	Astrocytes	Gfap,Pax2,S100b		Astrocytes
Eye	Retinal ganglion cells	Bmp4,Gria4,Grm3,Kcnj2,Med1,Nrn1,Pou6f2,Sncg,Thy1,Zic2		RGCs
Eye	Retinal progenitor cells	Calb2,Hes1,Kit,Lgr5,Msi1,Nefh,Notch1,Pax6,Pdgfra,Rax,Rho,Sag,Six3,Six6,Sox9		RPCs
Eye	Rod bipolar cells	Gabra1,Grm3,Kcna4,Kcnma1,Lhx4,Pcp4,Prkca,Rcvrn,Rorb,Slc1a2		RBCs
Eye	Cone bipolar cells	Gabra1,Gjd2,Gnas,Gnb3,Gria4,Isl1,Lhx3,Lhx4,Lrit2,Mip,Pcp4,Rcvrn,Slc1a2,Slc1a7,Tjp2		CBCs
